case,prefetch,hp_true_positive_count,hp_false_positive_count,hp_true_negative_count,hp_false_negative_count,hp_eval_drop_count,hp_predict_error_count,hp_train_drop_count,hp_background_error_count,accuracy_percent,precision_percent,recall_percent,specificity_percent
bigdata_baleen_v2,off,181199,1151,45247,6037,0,0,0,0,96.92339299930661,99.3687962709076,96.77572689012797,97.51928962455278
bigdata_baleen_v2,on,181955,1156,45770,5976,0,0,0,0,96.96325849346624,99.36868893731125,96.82010950827697,97.53654690363551
graph_graphchi_psw_v2,off,14590,4454,93954,6400,0,0,0,0,90.90939546726077,76.61205629069524,69.50929013816103,95.47394520770669
graph_graphchi_psw_v2,on,15195,4111,93902,6478,0,0,0,0,91.15268285346657,78.70610173003212,70.11027545794306,95.805658433065
ai_training_ses_v2,off,211045,14646,439591,29892,0,0,0,0,93.59325866617566,93.51059634633194,87.59343728858582,96.77569198458073
ai_training_ses_v2,on,206187,12879,438744,27454,0,0,0,0,94.11423918373065,94.12094985072991,88.24949388163893,97.14828518476693
ai_inference_ses_v2,off,1462979,74925,936246,98869,0,0,0,0,93.24552208903238,95.1281094268563,93.66974251015463,92.59027404860305
ai_inference_ses_v2,on,1464589,75306,936165,99843,0,0,0,0,93.20048153987165,95.1096665681751,93.61793929042618,92.55480384509293
