case,prefetch,baseline_percent,s3fifo_percent,hits,misses,valid_seconds,valid_10s_windows,gt96_10s_windows,minimum_10s_percent,osd_read_iops,quality_flags
bigdata_baleen_v2,off,93.31311146238305,95.96017488353361,247797,10432,418.7676965920062,42,22,94.67614533965245,554.369407882431,
bigdata_baleen_v2,on,94.06194876294407,99.63366424632602,257831,948,416.7411224036575,40,40,96.02507009731156,557.7419349916307,
graph_graphchi_psw_v2,off,83.79880270692348,91.57825619075992,150627,13852,417.0185879626661,40,1,83.9531968240702,277.73342326498135,
graph_graphchi_psw_v2,on,83.43591477849172,96.71448431609429,159311,5412,416.52626130367105,40,28,88.04479418886199,279.1324600665108,
ai_training_ses_v2,off,94.22803309148583,98.834047281393,811218,9570,415.9529140120039,40,40,97.29575417834528,1651.4056684314435,
ai_training_ses_v2,on,94.09214271529754,99.81956986346464,806611,1458,417.18301473532733,41,41,97.4812459635352,1621.0583271925627,
ai_inference_ses_v2,off,98.28173176218249,99.82105170834576,3107061,5570,418.38591285133333,41,41,99.63314220495123,6113.109742556786,
ai_inference_ses_v2,on,98.2996532362523,99.97536400965576,3100390,764,415.98398343431955,40,40,99.71638283065691,6128.021994872049,
