case,phase,lru_percent,s3fifo_percent,s3fifo_hits,s3fifo_misses,s3fifo_queries,s3fifo_seconds,lru_seconds,s3fifo_queries_per_second,strict_gt95,strict_gt96,resident_onodes_start,resident_onodes_peak,resident_onodes_end
bigdata_baleen_v2,baseline,93.40485220011429,96.00960164599645,251982,10473,262455,417.2580197699958,177.48965972100268,628.9992943566967,True,True,1314,19482,19482
graph_graphchi_psw_v2,baseline,83.14267930008991,91.869869149993,150741,13340,164081,417.4402959616613,177.8800297413351,393.0645929186232,False,False,19974,45280,45280
hpc_wrf_continuous_v2,baseline,91.99973166968539,89.32969520530887,161400,19279,180679,417.4878194059952,177.23784939499942,432.77669814911354,False,False,45860,59571,59206
bigdata_baleen_v2,fixed,93.00716869891464,96.08649926689031,250338,10196,260534,413.73969913433143,179.04962511999952,629.7051033418256,True,True,948,19619,19619
graph_graphchi_psw_v2,fixed,83.10221209426412,91.81739349696497,149296,13305,162601,416.3595542529947,177.06546223833476,390.53024804901656,False,False,20492,45739,45739
hpc_wrf_continuous_v2,fixed,91.57044362420781,89.96309113278102,148440,16561,165001,385.55865348632994,172.912663576004,427.95304555614166,False,False,46348,59388,59388
