case,switch_request_seconds,switch_confirm_seconds,full_rd_duration_seconds,lru_valid_seconds,transition_seconds,s3fifo_valid_seconds,s3fifo_coverage_of_nominal420_percent,rejected_intervals
bigdata_baleen_v2,180.24124312400818,180.25999879837036,600.0,176.46465410866952,3.155712214662344,417.75104899000144,99.46453547380986,"{""outside-measurement-window"": 20}"
graph_graphchi_psw_v2,180.22448992729187,180.2459201812744,609.9880001544952,177.54923147966718,2.1867295206611743,417.6507308960038,99.44065021333424,"{""outside-measurement-window"": 13}"
hpc_wrf_continuous_v2,180.24408721923828,180.26407837867737,611.9949998855591,178.1486882613342,2.4580136316702315,417.34061964266607,99.36681420063478,"{""outside-measurement-window"": 12}"
ai_training_ses_v2,180.22443461418152,180.2413387298584,600.0,177.59592395500422,2.5494824226625497,406.5948647730063,96.80830113643007,"{""collection-gap"": 1, ""outside-measurement-window"": 15}"
ai_inference_ses_v2,181.15903186798096,181.17421579360962,600.0,178.92197622598917,2.33273358567385,416.0613182903326,99.06221864055539,"{""outside-measurement-window"": 5}"
