case,lru_percent,s3fifo_percent,hits,misses,valid_seconds,strict_gt95,strict_gt96,full_rd_s3fifo_percent
bigdata_baleen_v2,99.89938379681212,99.91688438419271,352228,293,417.75104899000144,True,True,99.91688438419271
graph_graphchi_psw_v2,99.79102067160402,99.91311503997014,3265850,2840,417.6507308960038,True,True,99.91420651441274
hpc_wrf_continuous_v2,99.86319954481174,99.83548734895557,2776973,4576,417.34061964266607,True,True,99.83839941393599
ai_training_ses_v2,99.20642816675648,99.70200902312972,1506282,4502,406.5948647730063,True,True,99.70200902312972
ai_inference_ses_v2,99.56149756143158,99.94979090001904,3344327,1680,416.0613182903326,True,True,99.94979090001904
